User,Created_at,Tweet
@citizentvkenya,2019-04-12 12:17:37,Bottas tops Vettel to go fastest in Chinese GP practice https://t.co/Dbrv4Xx0ah
@citizentvkenya,2019-04-12 12:15:27,"Bashir’s legacy in Sudan: Isolation, Iron Fist, Darfur deaths https://t.co/Q0HfBMYGSn"
@citizentvkenya,2019-04-12 12:12:47,Nyeri woman survives after being stabbed 17 times by husband https://t.co/eY9k8Ol794
@citizentvkenya,2019-04-12 11:50:08,"The Kenya Haemophilia Association, together with the former Prime Minister Rt Hon. Raila Omolo Odinga request the p… https://t.co/CjPTOXPt5q"
@citizentvkenya,2019-04-12 11:27:17,Sudan Military’s post-Bashir plan gets rocky reception https://t.co/3Yn3YQ5uZ4
@citizentvkenya,2019-04-12 11:19:14,Supreme Court asks political parties to give details of funding through bonds https://t.co/hV5DDLViOK
@citizentvkenya,2019-04-12 10:57:49,6 remaining long-serving African heads following Bashir ouster https://t.co/X54xQWKFdx
@citizentvkenya,2019-04-12 10:55:27,African union: high-speed rail network on track https://t.co/WEo1zgRb2V
@citizentvkenya,2019-04-12 10:43:10,Dhulma dhidi ya wasichana: Wanadaiwa kunyanyaswa kingono Taita Taveta. Visa vingi vinaendelea kuripotiwa. Shule zik… https://t.co/SPyvBIP46B
@citizentvkenya,2019-04-12 10:40:22,"Cuban doctors abducted in Mandera by suspected Al-Shabaab militants 
  https://t.co/pYBRVhx86J"
@citizentvkenya,2019-04-12 10:31:36,"Athari za kiangazi Pokot: Mikakati yaimarishwa kwa wafugaji. Mpango wa kununua mifugo waanzishwa.
Unanuia kuwalinda… https://t.co/yH2tliF1RW"
@citizentvkenya,2019-04-12 10:29:16,Amani na utangamano: Wenyeji Kapsabet watoa maoni kwa jopo #SemaNaCitizen https://t.co/6z3CNTMvm9
@citizentvkenya,2019-04-12 10:27:49,"Vurugu bungeni Kisii: Wawakilishi wadi warushiana cheche za maneno. Majina ya wanachama wa kamati yazua balaa.
Kama… https://t.co/FabZ7VEhwt"
@citizentvkenya,2019-04-12 10:25:54,Vatican holds spiritual retreat for peace in South Sudan https://t.co/FcwD0BDe0h
@citizentvkenya,2019-04-12 10:25:15,Cech hoping to sign off with Europa triumph https://t.co/v0mIyDHQxI
@citizentvkenya,2019-04-12 10:23:54,Police confirm that a woman who died after 8 days in a Dominican Republic ICU was a missing New York tourist https://t.co/w5D71f2KOA
@citizentvkenya,2019-04-12 10:23:48,Mahakama ya rufaa yazinduliwa Mombasa. Mahakama  itasaidia kupunguza mrundiko wa kesi. Jaji mkuu  David Maraga atak… https://t.co/wtSfXAXSya
@citizentvkenya,2019-04-12 10:19:15,Mafunzo ya bodaboda Laikipia: Wahudumu  wapata fursa ya kufunzwa sheria pia. Wamekuwa wakilaumiwa kwa uendeshaji ki… https://t.co/XJt2Bx7je9
@citizentvkenya,2019-04-12 10:17:04,"Marufuku ya mifuko ya plastiki: Mikakati yaimarishwa kuzuia isiingizwe nchini.
Mataifa jirani yanachangia magendo y… https://t.co/zVVw8605RQ"
@citizentvkenya,2019-04-12 10:07:55,Jalang’o on the receiving end for ‘distasteful’ post triggered by Ivy Wangechi incident - eDaily Kenya https://t.co/lfvNQ5y37V
@citizentvkenya,2019-04-12 10:05:34,Raia wa 17 wa Nigeria kurejeshwa kwao. Walikamatwa katika eneo la Kasarani. Wanadaiwa kuhusika na visa vya wizi. Ni… https://t.co/U3sdNGab59
@citizentvkenya,2019-04-12 10:03:37,"Shambulizi Mandera: Polisi mmoja auawa. Madaktari 2 wa Cuba watekwa nyara. Hali ya taharuki bado imetanda.
Dereva m… https://t.co/tStWI2wgpY"
@citizentvkenya,2019-04-12 09:52:59,"For the Clinical officer, the pharmacy owner or the independent health insurance provider; if you are 35 years and… https://t.co/M6qfKVn3Ar"
@citizentvkenya,2019-04-12 09:49:11,How Indonesia’s president has tried to claw back voter support in Muslim heartland https://t.co/LBjpFjcoQq
@citizentvkenya,2019-04-12 09:31:10,"UN, EU demand immediate halt to fighting in Libya https://t.co/UTpdO0uld7"
@citizentvkenya,2019-04-12 09:29:38,Chinese President receives first African honorary Doctorate https://t.co/KudOXuKpsU
@citizentvkenya,2019-04-12 09:24:04,Sister of ex-CNN host Soni Methu recounts her painful last moments https://t.co/UDtxBEVBm6 via @edailykenya https://t.co/4RERUnLdxf
@citizentvkenya,2019-04-12 09:23:23,"UN, EU demand immediate halt to fighting in Libya https://t.co/UTpdO0LW4F"
@citizentvkenya,2019-04-12 09:09:49,Taliban: UN suspends sanctions against senior leaders https://t.co/CEJ7xyTLSk
@citizentvkenya,2019-04-12 09:09:00,"Why Pope Francis kissed feet of South Sudan rivals Machar, Kiir: Priest explains https://t.co/i7iUl0OUPF"
@citizentvkenya,2019-04-12 09:08:33,Joy turns to fear in Sudan as army takes control after ousting Bashir https://t.co/NhDJ9o33Gv
@citizentvkenya,2019-04-12 09:07:51,"Densi ni kiungo maalum katika tamaduni za Waluo. Pia wanapenda muziki wa Benga, Ohangla, Dodo, Nyatiti, Orutu na Ot… https://t.co/kbaYdDdhbs"
